,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,PAN_D,PRI_D,PRD_D,PVEM_D,PT_D,MC_D,NA_D,MORENA_D,ES_D,PAN_PRD_MC_D,PAN_PRD_D,PAN_MC_D,PRD_MC_D,PRI_PVEM_NA_D,PRI_PVEM_D,PRI_NA_D,PVEM_NA_D,PT_MORENA_ES_D,PT_MORENA_D,PT_ES_D,MORENA_ES_D,CAND_IND1_D,CAND_IND2_D,NUM_VOTOS_CAN_NREG_D,NUM_VOTOS_NULOS_D,TOTAL_VOTOS_D,LISTA_NOMINAL_D,index_D,PAN_PR,PRI_PR,PRD_PR,PVEM_PR,PT_PR,MC_PR,NA_PR,MORENA_PR,ES_PR,PAN_PRD_MC_PR,PAN_PRD_PR,PAN_MC_PR,PRD_MC_PR,PRI_PVEM_NA_PR,PRI_PVEM_PR,PRI_NA_PR,PVEM_NA_PR,PT_MORENA_ES_PR,PT_MORENA_PR,PT_ES_PR,MORENA_ES_PR,CAND_IND1_PR,CAND_IND2_PR,NUM_VOTOS_CAN_NREG_PR,NUM_VOTOS_NULOS_PR,TOTAL_VOTOS_PR,LISTA_NOMINAL_PR,index_PR
AJALPAN,7404.0,7638.0,2067.0,496.0,815.0,369.0,325.0,11587.0,352.0,41.0,74.0,29.0,20.0,0.0,0.0,0.0,0.0,141.0,84.0,26.0,61.0,0.0,0.0,2.0,2080.0,33611.0,41977,21010,6098.0,5338.0,1296.0,149.0,1495.0,174.0,175.0,15276.0,545.0,27.0,80.0,26.0,26.0,18.0,49.0,9.0,6.0,353.0,130.0,35.0,146.0,10.0,379.0,21.0,1805.0,33666,41977,21010
ALBINO ZERTUCHE,418.0,421.0,11.0,14.0,21.0,11.0,7.0,158.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,47.0,1122.0,1445,21011,346.0,299.0,6.0,4.0,42.0,7.0,4.0,272.0,15.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,14.0,0.0,39.0,1062,1445,21011
ALJOJUCA,1046.0,607.0,89.0,73.0,86.0,346.0,349.0,1046.0,67.0,5.0,7.0,7.0,13.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,3.0,0.0,0.0,1.0,243.0,4008.0,4858,21012,790.0,406.0,41.0,12.0,244.0,128.0,126.0,1712.0,100.0,6.0,4.0,7.0,10.0,3.0,1.0,3.0,1.0,52.0,16.0,4.0,7.0,0.0,178.0,1.0,166.0,4018,4858,21012
ALTEPEXI,1726.0,1521.0,195.0,170.0,226.0,1069.0,781.0,4543.0,143.0,7.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,13.0,0.0,0.0,0.0,740.0,11180.0,13488,21013,1144.0,849.0,96.0,36.0,551.0,683.0,320.0,7043.0,253.0,2.0,6.0,7.0,12.0,4.0,1.0,3.0,1.0,117.0,51.0,13.0,44.0,8.0,123.0,1.0,539.0,11907,13488,21013
AMIXTLAN,283.0,439.0,806.0,553.0,42.0,24.0,11.0,384.0,9.0,5.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,4.0,0.0,0.0,0.0,182.0,2771.0,3459,21014,201.0,390.0,658.0,478.0,101.0,12.0,7.0,667.0,29.0,1.0,6.0,0.0,7.0,1.0,8.0,1.0,4.0,14.0,5.0,1.0,5.0,1.0,7.0,0.0,164.0,2768,3459,21014
AMOZOC,8922.0,4365.0,453.0,1843.0,1726.0,2503.0,994.0,20041.0,1044.0,107.0,89.0,68.0,17.0,0.0,0.0,0.0,0.0,707.0,241.0,40.0,292.0,0.0,0.0,16.0,1969.0,45437.0,68752,21015,7417.0,3329.0,240.0,440.0,2470.0,1305.0,325.0,23014.0,1105.0,175.0,98.0,93.0,6.0,45.0,73.0,22.0,6.0,1452.0,401.0,79.0,420.0,46.0,2183.0,20.0,1321.0,46085,68752,21015
AQUIXTLA,1155.0,1865.0,49.0,73.0,67.0,425.0,74.0,621.0,24.0,15.0,6.0,16.0,12.0,0.0,0.0,0.0,0.0,15.0,6.0,1.0,12.0,0.0,0.0,1.0,302.0,4739.0,6004,21016,889.0,1623.0,33.0,35.0,163.0,298.0,27.0,947.0,60.0,13.0,5.0,14.0,10.0,15.0,36.0,10.0,1.0,60.0,14.0,3.0,17.0,1.0,240.0,0.0,227.0,4741,6004,21016
ATEMPAN,1918.0,3674.0,138.0,275.0,522.0,203.0,1999.0,3433.0,114.0,19.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,64.0,24.0,2.0,21.0,0.0,0.0,0.0,1071.0,13498.0,18161,21017,1569.0,2684.0,62.0,83.0,988.0,72.0,1206.0,4938.0,241.0,27.0,17.0,10.0,2.0,18.0,24.0,22.0,6.0,198.0,69.0,10.0,59.0,0.0,259.0,0.0,928.0,13492,18161,21017
ATEXCAL,608.0,977.0,25.0,27.0,41.0,17.0,32.0,403.0,20.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,108.0,2284.0,2775,21018,526.0,670.0,6.0,6.0,103.0,11.0,10.0,727.0,42.0,8.0,11.0,5.0,0.0,4.0,4.0,1.0,1.0,23.0,3.0,1.0,7.0,1.0,33.0,0.0,81.0,2284,2775,21018
ATLEQUIZAYAN,220.0,743.0,4.0,6.0,18.0,17.0,99.0,446.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,35.0,1610.0,1889,21082,216.0,666.0,4.0,0.0,40.0,9.0,0.0,601.0,20.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,2.0,2.0,2.0,1.0,7.0,0.0,20.0,1609,1889,21082
